ID,Name,DepartmentID,President,FoundingDate
1,Unleash strategic e-business Club,4,282,2008-03-08
2,Optimize cutting-edge web-readiness Club,5,67,2000-01-17
3,E-enable sticky technologies Club,5,655,2012-09-30
4,Synthesize extensible metrics Club,4,460,2024-06-30
5,Re-intermediate bleeding-edge networks Club,4,489,2009-04-01
6,Reinvent sticky portals Club,1,616,2001-11-10
7,E-enable sticky architectures Club,2,831,2003-01-03
8,Synthesize global synergies Club,3,698,2005-11-19
9,Enable 24/365 info-mediaries Club,2,282,2004-05-02
10,Transform customized communities Club,2,554,2017-05-18
11,Cultivate web-enabled e-commerce Club,2,56,2014-05-24
12,Grow impactful content Club,1,322,2002-12-18
13,Seize cross-platform initiatives Club,2,736,2014-01-29
14,Expedite real-time convergence Club,3,722,2023-05-18
15,Cultivate best-of-breed architectures Club,4,32,2024-07-24
16,Drive integrated deliverables Club,1,383,2001-12-09
17,Implement dynamic systems Club,4,56,2012-05-19
18,Implement world-class schemas Club,2,278,2015-07-29
19,Repurpose sticky e-business Club,5,464,2009-08-29
20,Expedite collaborative content Club,3,328,2011-04-19
